transaction_id,order_id,customer_id,invoice_date,due_date,amount,payment_date,payment_method,status,department,currency
FT52d13209,SOeac0aee5,Ce80237a3,2024-03-19,2024-05-18,4716.16,2024-05-23,Kreditkarte,Bezahlt,Finanzen,EUR
FT7205e649,SOa5ac0744,C82cd3970,2023-11-02,2023-11-02,1442.58,2023-11-12,Lastschrift,Bezahlt,Einkauf,EUR
FT923d6f8a,SOa1f92c0b,C1d070d6e,2024-08-27,2024-10-25,5919.91,2024-10-25,Lastschrift,Bezahlt,Einkauf,EUR
FTbf670535,SO384d8573,C1011d7bf,2023-01-25,2023-03-11,6096.59,2023-03-11,Lastschrift,Bezahlt,Produktion,EUR
FT90ccc411,SOb2bddf9b,Ca5ca84fd,2023-02-10,2023-03-25,13990.13,2023-04-09,Kreditkarte,Bezahlt,Finanzen,EUR
FTf0b2a791,SO7551af30,Cc755aa91,2024-03-22,2024-05-06,52.21,2024-06-05,Kreditkarte,Bezahlt,Vertrieb,EUR
FT3237bd23,SOe90c3fc7,Ca7e17d6d,2024-11-13,2024-11-10,11685.72,2024-11-10,Überweisung,Ausstehend,Einkauf,EUR
FT749d4db3,SO2bc5f16d,C36a19778,2023-06-11,2023-07-08,7792.37,2023-07-23,Überweisung,Bezahlt,Finanzen,EUR
FT1ee2bc2c,SOc0eae3cf,Caad1aa13,2024-10-24,2024-11-23,7764.07,2024-12-23,Überweisung,Ausstehend,Finanzen,EUR
FT5046b753,SO9c01452f,,2024-08-16,2024-10-15,104.08,2024-11-14,Lastschrift,Ausstehend,Produktion,EUR
FT6d343b7c,SO8b5012f4,Cf92b9ef9,2024-03-30,2024-04-24,6140.63,2024-04-24,Lastschrift,Bezahlt,Produktion,EUR
FTe9d3aeba,SO2dcff1d5,Ca42b06d3,2024-06-25,2024-06-25,1536.99,2024-06-25,Überweisung,Bezahlt,Vertrieb,EUR
FTe7810a65,SOc55cf9c2,Ce02f09fc,2024-06-16,2024-07-16,1754.46,2024-08-15,Überweisung,Bezahlt,Finanzen,EUR
FT65d29ba4,SOa8835edb,Cf6f02706,2023-09-14,2023-10-14,10231.14,2023-10-14,Lastschrift,Bezahlt,HR,EUR
FT8efd20c7,SO427e3b95,C1011d7bf,2023-06-10,2023-07-25,209.54,2023-07-30,Überweisung,Bezahlt,Produktion,EUR
FTfc3dbe60,SOa748ad08,Cd891b141,2023-03-03,2023-03-03,5496.75,2023-03-03,Lastschrift,Bezahlt,Produktion,EUR
FTcf56c383,SOc3c3fd78,C03157cee,2024-07-15,2024-08-14,4145.66,2024-08-14,Überweisung,Bezahlt,Vertrieb,EUR
FT5047e117,SOe2614fd6,C5c74d310,2023-11-13,2023-12-28,5307.86,2024-01-12,Lastschrift,Bezahlt,HR,EUR
FT099495e6,SO4e3b589b,C090d6a5d,2023-12-18,2024-01-17,1592.88,2024-01-27,Lastschrift,Bezahlt,Produktion,EUR
FT1c682ad7,SO53005f93,Ced957276,2024-02-09,2024-04-09,322.86,2024-04-09,Kreditkarte,Bezahlt,Finanzen,EUR
FT84e405de,SOc5a0b881,Caddd63d9,2023-11-11,2023-12-11,2922.53,2023-12-11,Kreditkarte,Bezahlt,Einkauf,EUR
FT45d47693,SOe0df2fd4,C3efad3f9,2024-05-11,2024-06-24,16831.78,2024-07-24,Lastschrift,Bezahlt,Einkauf,EUR
FT7c3a0ca4,SO8d2f1137,C13afda51,2023-06-22,2023-06-22,15428.97,2023-06-22,Überweisung,Bezahlt,Finanzen,EUR
FTd3df1c7d,SOcc95d7c0,C8fbcc7b1,2024-04-03,2024-06-02,691.45,2024-06-02,Lastschrift,Bezahlt,Produktion,EUR
FTaeb2f493,SO24aaa270,C4d8dda40,2024-02-04,2024-03-20,15855.19,2024-03-20,Kreditkarte,Bezahlt,Finanzen,EUR
FT456b2ab6,SO7dc94846,,2023-02-14,2023-03-16,2366.06,2023-03-16,Lastschrift,Bezahlt,IT,EUR
FTc2ba8857,SO3523f38d,C7fd098ba,2024-05-30,2024-06-29,1422.67,2024-06-29,Kreditkarte,Bezahlt,Finanzen,EUR
FT2d070d4d,SOefd3ef1a,C3cc6e59d,2023-10-07,2023-11-21,13269.23,2023-12-06,Lastschrift,Bezahlt,IT,EUR
FT8b0adeee,SO7a180c41,C6d8ea5e4,2024-10-07,2024-11-21,7075.2,2024-11-21,Überweisung,Ausstehend,Produktion,EUR
FT60d3ba53,SO6c97e4c8,C9d0a5534,2024-12-11,2025-01-05,1154.01,2025-01-05,Kreditkarte,Ausstehend,Vertrieb,EUR
FT00cb4f67,SOfa6e9ae6,,2024-05-04,2024-07-03,12069.89,2024-07-03,Kreditkarte,Bezahlt,HR,EUR
FTca03cb5b,SO33fed355,C3275bcae,2024-09-26,2024-11-10,3460.43,2024-11-15,Kreditkarte,Ausstehend,Einkauf,EUR
FTa2513b15,SOfbeee2d5,Ca26869df,2024-03-07,2024-05-06,10139.72,2024-05-06,Überweisung,Bezahlt,Vertrieb,EUR
FTe5467d8b,SO463eda48,Cdfca3639,2024-05-28,2024-05-28,2352.68,2024-06-07,Kreditkarte,Bezahlt,Vertrieb,EUR
FTebe3bf13,SOe9d15369,C0641716f,2023-04-18,2023-05-16,2372.05,2023-05-16,Lastschrift,Bezahlt,Produktion,EUR
FT4961e7a5,SOe9d15369,C0641716f,2023-04-18,2023-05-16,1788.9,2023-05-22,Überweisung,Bezahlt,Produktion,EUR
FTbbe03960,SO45b2b4dd,C8fbcc7b1,2024-11-02,2025-01-01,9768.96,2025-01-06,Überweisung,Ausstehend,Produktion,EUR
FT66541c61,SOc74d9379,C6043cf92,2023-05-15,2023-06-14,,2023-07-14,Lastschrift,Bezahlt,HR,EUR
FTa4149858,SO18856a31,C9694b874,2023-05-23,2023-05-23,5993.97,2023-05-28,Kreditkarte,Bezahlt,HR,EUR
FTc3c1cd33,SO35f67483,Ccb63ede4,2023-02-19,2023-04-20,21857.26,2023-04-20,Lastschrift,Bezahlt,Finanzen,EUR
FTec94234e,SOcda3782f,Caad1aa13,2023-12-29,2024-01-28,2770.32,2024-01-28,Überweisung,Bezahlt,Finanzen,EUR
FTca47d742,SO577c82c2,Ca42b06d3,2024-05-08,2024-05-07,1611.01,2024-05-17,Kreditkarte,Bezahlt,Vertrieb,EUR
FT14c72205,SOdcc6383b,C42e5a792,2024-09-23,2024-11-19,5194.68,2024-11-19,Überweisung,Ausstehend,Einkauf,EUR
FT200edf1b,SO7db34e33,C73e2fe44,2024-08-15,2024-09-11,1676.96,2024-09-26,Überweisung,Bezahlt,Einkauf,EUR
FT6ae878c9,SOeb08606d,Cfcd5712c,2024-02-19,2024-04-17,9438.26,2024-05-17,Lastschrift,Bezahlt,HR,EUR
FTa93faf7b,SO1fc7b9c4,Ce1527376,2024-11-14,2025-01-13,23516.84,2025-02-12,Lastschrift,Ausstehend,IT,EUR
FTaf9700bb,SO0ffc6bbe,C4d8dda40,2023-03-03,2023-04-17,6048.31,2023-05-02,Kreditkarte,Bezahlt,Finanzen,EUR
FT96e58ea1,SOca037c78,C846484d1,2023-01-10,2023-03-11,7207.17,2023-03-11,Lastschrift,Bezahlt,Vertrieb,EUR
FT4c62dbf1,SO361f32d5,C37903667,2023-08-09,2023-08-06,6649.23,2023-09-05,Überweisung,Bezahlt,Vertrieb,EUR
FTd041a917,SOa290a12e,C1e3f9dc2,2024-09-20,2024-09-20,11267.92,2024-09-20,Überweisung,Bezahlt,HR,EUR
FT14dcf822,SO7672e1a1,C4d8dda40,2023-08-24,2023-10-08,2821.5,2023-10-08,Überweisung,Bezahlt,Finanzen,EUR
FT40d16310,SO7f8a0ec3,C1d070d6e,2024-01-10,2024-03-09,10001.44,2024-03-24,Kreditkarte,Bezahlt,Einkauf,EUR
FTc823cc1c,SO3d0d1b1b,,2023-09-17,2023-11-16,264.15,2023-11-26,Überweisung,Bezahlt,Einkauf,EUR
FTcb0ce3a7,SOc222ea37,C1d070d6e,2023-01-25,2023-03-25,734.22,2023-04-24,Kreditkarte,Bezahlt,Einkauf,EUR
FTcb67352d,SOd5ce2f40,,2024-11-18,2024-11-18,8303.55,2024-11-28,Kreditkarte,Ausstehend,Finanzen,EUR
FTa3ff0af1,SO51e6fc23,C12feb9fd,2024-03-15,2024-04-14,8236.66,2024-04-14,Lastschrift,Bezahlt,Einkauf,EUR
FT16eb97e2,SOba43d56c,C9f9d1595,2023-07-11,2023-07-07,9202.33,2023-07-17,Überweisung,Bezahlt,Produktion,EUR
FT44fad5c6,SOab5a7e76,Cd891b141,2023-11-12,2023-11-12,2580.0,2023-11-12,Lastschrift,Bezahlt,Produktion,EUR
FT216d267a,SOc777d7e9,Ce36428f7,2023-05-28,2023-05-27,25510.21,2023-05-27,Lastschrift,Bezahlt,HR,EUR
FTf5e53fc5,SOcd4c0558,C1252c1b1,2023-11-06,2024-01-05,7645.53,2024-01-05,Überweisung,Bezahlt,IT,EUR
FT18bcd6fc,SO6e81d5c4,Cfa474de8,2023-09-15,2023-10-15,9807.42,2023-10-25,Überweisung,Bezahlt,Einkauf,EUR
FTcf466017,SO239e62be,Cc4b33ba9,2024-07-08,2024-08-22,6243.76,2024-09-21,Überweisung,Bezahlt,Einkauf,EUR
FTae51ed0a,SO21e97680,C1d070d6e,2024-04-02,2024-06-01,138.12,2024-06-01,Überweisung,Bezahlt,Einkauf,EUR
FTfcda63cf,SOc9ff2ebb,C14fe74cd,2023-07-22,2023-09-18,2681.44,2023-09-18,Kreditkarte,Bezahlt,HR,EUR
FT4fc16839,SO1d01aa22,C6823df44,2023-06-07,2023-07-07,413.88,2023-08-06,Lastschrift,Bezahlt,IT,EUR
FTe72843e6,SO4e6e11b6,C868f6ecf,2023-11-01,2023-12-14,6070.32,2023-12-14,Lastschrift,Bezahlt,IT,EUR
FT643c9b9d,SO39b5e781,,2023-05-22,2023-05-22,16189.45,2023-05-22,Überweisung,Bezahlt,Finanzen,EUR
FTaff71da4,SO7b8f9dce,C42e5a792,2023-11-08,2024-01-07,7450.03,2024-01-22,Kreditkarte,Bezahlt,Einkauf,EUR
FT557724df,SO2358026f,C4d8dda40,2023-03-11,2023-04-23,6732.11,2023-04-23,Kreditkarte,Bezahlt,Finanzen,EUR
FT8d2f842a,SO505d61cc,Cca6a5fc0,2023-12-29,2024-01-28,3553.16,2024-01-28,Kreditkarte,Bezahlt,Vertrieb,EUR
FT68f9c05e,SOf6829f13,Cfeb0823d,2024-02-11,2024-03-25,3274.57,2024-04-04,Überweisung,Bezahlt,IT,EUR
FTc3da2684,SOf6829f13,Cfeb0823d,2024-02-11,2024-03-25,1785.01,2024-04-12,Lastschrift,Bezahlt,IT,EUR
FT9c3b5bdc,SO99a179f8,C0fe26680,2023-08-20,2023-09-19,1500.53,2023-09-29,Überweisung,Bezahlt,Produktion,EUR
FTce46732a,SO5143e518,,2024-04-14,2024-06-13,138.12,2024-06-23,Überweisung,Bezahlt,Produktion,EUR
FT7f3d061e,SO3581b4ee,C8a588552,2024-07-07,2024-08-06,,2024-08-21,Kreditkarte,Bezahlt,Finanzen,EUR
FT74cea06a,SO30e7cfb7,C4420150f,2024-10-11,2024-12-10,2228.83,2024-12-10,Überweisung,Ausstehend,HR,EUR
FTd6354e87,SOcbb973ee,Cc637d361,2024-06-08,2024-06-08,1802.45,2024-07-08,Überweisung,Bezahlt,Finanzen,EUR
FT21cc546c,SO80cebe61,C3f13b32e,2023-03-21,2023-03-21,763.83,2023-03-21,Kreditkarte,Bezahlt,Finanzen,EUR
FTb16a9316,SO3db17db2,C0641716f,2023-03-11,2023-04-06,17562.43,2023-04-06,Kreditkarte,Bezahlt,Produktion,EUR
FT1b1c0aee,SO5a252809,Caad1aa13,2024-08-24,2024-09-23,2515.37,2024-09-23,Kreditkarte,Bezahlt,Finanzen,EUR
FTd3476c13,SO729c3bb7,C16aa833e,2024-01-25,2024-03-10,819.59,2024-03-25,Überweisung,Bezahlt,HR,EUR
FTb0648d78,SOe0d09c21,C924c7be9,2024-05-01,2024-06-15,550.86,2024-07-15,Lastschrift,Bezahlt,Einkauf,EUR
FTe8aabd98,SOe40edee6,Cf27e6ab2,2024-12-24,2024-12-21,7.76,2024-12-31,Kreditkarte,Ausstehend,Finanzen,EUR
FT2dc41910,SO148c0a85,C1dfe72e0,2024-05-20,2024-07-16,3246.11,2024-07-16,Überweisung,Bezahlt,Vertrieb,EUR
FT7b05a855,SO093e9e1b,Cf8b4383e,2023-09-11,2023-09-11,587.44,2023-09-11,Kreditkarte,Bezahlt,Finanzen,EUR
FT567a030f,SO145c9246,Cca4b662a,2023-08-13,2023-08-13,4940.04,2023-08-28,Kreditkarte,Bezahlt,Vertrieb,EUR
FT9311ac05,SO1515007e,C16aa833e,2024-09-08,2024-10-23,4058.19,2024-10-28,Kreditkarte,Bezahlt,HR,EUR
FT744a0ea6,SOd80dbf0e,C22dc1560,2024-04-21,2024-06-01,10315.85,2024-06-11,Lastschrift,Bezahlt,Einkauf,EUR
FT9fa97c06,SO91aa1ba1,Cbab00c56,2024-01-13,2024-02-10,8224.18,2024-02-10,Lastschrift,Bezahlt,Produktion,EUR
FTf0b200e6,SOe0dd5a51,Ce475e957,2023-12-30,2024-01-29,10466.66,2024-02-08,Lastschrift,Bezahlt,Produktion,EUR
FT4d09b5d9,SO12866dcb,,2023-02-16,2023-04-02,630.96,2023-04-12,Kreditkarte,Bezahlt,Produktion,EUR
FTd5d1bd79,SOaa3399ea,Cf1e39af6,2023-12-12,2023-12-12,4998.76,2024-01-11,Kreditkarte,Bezahlt,Finanzen,EUR
FT3de8dfed,SOa6b85bbb,Cc5d4ef9a,2023-10-21,2023-11-20,3489.49,2023-11-20,Lastschrift,Bezahlt,HR,EUR
FT870cb8d2,SOced560dc,C3a861bec,2024-08-02,2024-08-02,22942.04,2024-08-02,Lastschrift,Bezahlt,Produktion,EUR
FT95ca8fbf,SO8c72804c,C6043cf92,2024-11-20,2024-12-20,3211.65,2024-12-30,Überweisung,Ausstehend,HR,EUR
FT38c78c11,SOcf04a429,C659b1429,2023-03-09,2023-03-09,28.96,2023-03-09,Kreditkarte,Bezahlt,IT,EUR
FTf6ced0f1,SOf17a4b46,C73ed6f51,2024-12-13,2025-01-23,2078.96,2025-01-23,Lastschrift,Ausstehend,Produktion,EUR
FT5ed5646d,SO92d53b03,C7f1819d2,2023-06-04,2023-07-04,3137.31,2023-07-04,Kreditkarte,Bezahlt,Einkauf,EUR
FT6d14dc46,SO18e1a407,Cf5ed7b3f,2023-02-12,2023-02-12,5875.21,2023-02-22,Kreditkarte,Bezahlt,Einkauf,EUR
FT226236b2,SO8dbb66c3,Caa20bb87,2024-01-31,2024-03-01,,2024-03-11,Kreditkarte,Bezahlt,HR,EUR
FT74d4aaf4,SO17d303f2,C5c74d310,2023-08-19,2023-10-03,3745.13,2023-10-03,Überweisung,Bezahlt,HR,EUR
FT3b7aae17,SO7de5d9fa,Cfeb0823d,2024-03-24,2024-05-07,145.32,2024-05-07,Lastschrift,Bezahlt,IT,EUR
FT5bf6ca34,SO649f96b1,Cd891b141,2024-05-26,2024-05-26,223.9,2024-05-26,Kreditkarte,Bezahlt,Produktion,EUR
FTc59a21cb,SO7884154f,Cc105970a,2023-12-20,2024-01-19,6617.16,2024-02-18,Überweisung,Bezahlt,IT,EUR
FT55a27a24,SOe5917c17,C659b1429,2024-04-24,2024-04-24,3434.23,2024-04-24,Lastschrift,Bezahlt,IT,EUR
FT978a8553,SOe5917c17,C659b1429,2024-04-24,2024-04-24,1703.39,2024-05-03,Überweisung,Bezahlt,IT,EUR
FTf0c460d6,SOf1b52e3e,Ca5ca84fd,2024-06-08,2024-07-23,13201.16,2024-08-02,Kreditkarte,Bezahlt,Finanzen,EUR
FTd6d7e16f,SO2d472997,C73179274,2023-05-31,2023-07-15,11804.85,2023-07-30,Überweisung,Bezahlt,IT,EUR
FTfe6babf5,SO30c8a40a,C3d3a92f2,2023-09-25,2023-11-07,2118.92,2023-11-22,Kreditkarte,Bezahlt,Finanzen,EUR
FTee8831d1,SO14479fae,Cf02cd960,2023-06-14,2023-07-29,2856.22,2023-07-29,Kreditkarte,Bezahlt,Finanzen,EUR
FTfa1f247a,SO392648ad,Ca39b1a71,2023-06-30,2023-08-29,1862.48,2023-08-29,Lastschrift,Bezahlt,Einkauf,EUR
FT9017edab,SO392648ad,Ca39b1a71,2023-06-30,2023-08-29,3202.98,2023-08-30,Lastschrift,Bezahlt,Einkauf,EUR
FT15d05435,SOa07ba345,C3f843499,2023-11-08,2023-11-06,17695.73,2023-12-06,Überweisung,Bezahlt,Finanzen,EUR
FT9a4c364e,SO67d010cb,C7b948975,2024-09-13,2024-10-11,1343.7,2024-10-26,Überweisung,Bezahlt,Produktion,EUR
FTe340aec2,SO3d8770d7,Cddb5b335,2023-04-02,2023-03-31,24161.56,2023-03-31,Lastschrift,Bezahlt,Produktion,EUR
FTf8cf4469,SOf7bd1a26,C2591bc00,2024-08-26,2024-10-23,1388.09,2024-10-23,Lastschrift,Bezahlt,IT,EUR
FT7740c549,SOd982d8d5,Cfa474de8,2023-11-03,2023-12-03,14.71,2023-12-18,Überweisung,Bezahlt,Einkauf,EUR
FTe55cdbb8,SOd6c9306f,C275f50b1,2024-12-27,2025-01-21,1810.5,2025-01-21,Kreditkarte,Ausstehend,Vertrieb,EUR
FTa3928820,SO9b3327db,C99bf0109,2023-09-29,2023-10-29,6309.08,2023-11-28,Kreditkarte,Bezahlt,IT,EUR
FTafb57311,SO9b3327db,C99bf0109,2023-09-29,2023-10-29,4150.08,2023-12-08,Kreditkarte,Bezahlt,IT,EUR
FT368dec61,SO1db18bc8,C96c2fc47,2024-09-09,2024-10-24,6360.76,2024-10-24,Lastschrift,Bezahlt,Finanzen,EUR
FT65c53d99,SO5204b7f4,Ca39b1a71,2023-03-17,2023-05-13,4556.61,2023-05-23,Kreditkarte,Bezahlt,Einkauf,EUR
FT9009f832,SOd69d1043,C75f9d5e2,2023-06-04,2023-07-19,1664.58,2023-07-19,Überweisung,Bezahlt,IT,EUR
FT33c51955,SO13221c30,C88e85c67,2024-01-22,2024-01-17,3830.58,2024-01-17,Überweisung,Bezahlt,HR,EUR
FT4bc162f9,SO8c151615,C5bd787f1,2023-10-16,2023-11-15,6533.7,2023-11-30,Kreditkarte,Bezahlt,Einkauf,EUR
FT26692a8f,SOdc4250cd,C3cc6e59d,2024-07-07,2024-08-21,6009.44,2024-09-05,Überweisung,Bezahlt,IT,EUR
FT00f72e8a,SO199d3e37,C0cb40719,2024-05-24,2024-05-24,1446.57,2024-05-24,Lastschrift,Bezahlt,IT,EUR
FT09d09caf,SOd20b2be1,C8a588552,2023-01-30,2023-03-01,14694.75,2023-03-16,Kreditkarte,Bezahlt,Finanzen,EUR
FT370cedcd,SOdba3bcf2,C8b18ddea,2024-12-22,2025-02-20,5569.94,2025-03-07,Kreditkarte,Ausstehend,Produktion,EUR
FT5018b46b,SOd1f75737,C36a19778,2023-11-11,2023-12-11,6669.31,2023-12-11,Kreditkarte,Bezahlt,Finanzen,EUR
FT16efa786,SO2a106be9,Cc637d361,2023-05-22,2023-05-22,2574.97,2023-05-22,Kreditkarte,Bezahlt,Finanzen,EUR
FTe3f53f0f,SO985ac181,C846484d1,2024-10-30,2024-12-25,12879.05,2024-12-30,Überweisung,Ausstehend,Vertrieb,EUR
FT2aa0ae35,SOf7fc00c4,C33fee75a,2024-12-01,2025-01-30,8273.05,2025-02-14,Überweisung,Ausstehend,Vertrieb,EUR
FTc859b3c4,SO6bf8c7b7,C846484d1,2023-10-13,2023-12-12,13865.83,2023-12-12,Kreditkarte,Bezahlt,Vertrieb,EUR
FT560bf404,SOc6914388,C659b1429,2024-11-21,2024-11-21,4717.4,2024-12-21,Kreditkarte,Ausstehend,IT,EUR
FT6c421dea,SO61230ba1,C3efad3f9,2024-11-04,2024-12-19,12094.23,2024-12-19,Überweisung,Ausstehend,Einkauf,EUR
FT1ac8b1fe,SO568979b7,Ca0780042,2023-10-18,2023-12-02,16919.78,2024-01-01,Lastschrift,Bezahlt,Einkauf,EUR
FTa161b2a4,SOb4ea1861,Ca0780042,2023-04-10,2023-05-25,2654.58,2023-06-04,Kreditkarte,Bezahlt,Einkauf,EUR
FT913bc489,SO7f6e6622,C13afda51,2024-07-21,2024-07-21,3001.09,2024-08-05,Kreditkarte,Bezahlt,Finanzen,EUR
FTc8196eab,SO7f6e6622,C13afda51,2024-07-21,2024-07-21,3876.63,2024-08-10,Lastschrift,Bezahlt,Finanzen,EUR
FTa6dd149f,SO0fd3218f,Ce38cd301,2024-06-23,2024-07-22,2767.48,2024-07-22,Kreditkarte,Bezahlt,Einkauf,EUR
FT86dc4704,SO64ca0b65,C275f50b1,2023-01-12,2023-02-11,9332.48,2023-02-21,Kreditkarte,Bezahlt,Vertrieb,EUR
FTf2e3d9a8,SO8b60b7ef,C8b18ddea,2024-09-29,2024-11-28,,2024-12-08,Überweisung,Ausstehend,Produktion,EUR
FTb08a0ea4,SO9127481d,Cca4b662a,2023-12-11,2023-12-11,2326.88,2023-12-26,Überweisung,Bezahlt,Vertrieb,EUR
FTcdd29b51,SOf80a1abb,C84226691,2023-04-28,2023-04-28,2431.09,2023-05-08,Kreditkarte,Bezahlt,Finanzen,EUR
FT51a0ce02,SOf1fedb84,Cc755aa91,2024-04-29,2024-06-12,12808.06,2024-06-27,Kreditkarte,Bezahlt,Vertrieb,EUR
FT33e4e07b,SO24a8483d,C4fe20e66,2024-11-07,2024-12-07,281.75,2024-12-12,Lastschrift,Ausstehend,Vertrieb,EUR
FT6d6bf1b3,SO49d3e57c,C2591bc00,2024-09-19,2024-11-18,9947.39,2024-12-18,Überweisung,Ausstehend,IT,EUR
FT09b4ae48,SOcbe6c0ff,C6e1dd11f,2023-12-24,2024-02-07,,2024-03-08,Lastschrift,Bezahlt,IT,EUR
FT5de290e5,SO025810b3,C9a904d0d,2024-03-04,2024-03-04,583.11,2024-03-04,Kreditkarte,Bezahlt,Einkauf,EUR
FT84b4734f,SOd3bfc0fa,Cca6a5fc0,2023-01-19,2023-02-18,726.58,2023-02-18,Lastschrift,Bezahlt,Vertrieb,EUR
FT315262b3,SOdc276aae,Ca42b06d3,2024-02-27,2024-02-27,5698.25,2024-02-27,Lastschrift,Bezahlt,Vertrieb,EUR
FTae2db239,SOd9508c1e,Cdd38e6d1,2024-08-14,2024-09-28,7678.53,2024-10-13,Kreditkarte,Bezahlt,Vertrieb,EUR
FT2ca8bf72,SOd9508c1e,Cdd38e6d1,2024-08-14,2024-09-28,3524.48,2024-10-20,Lastschrift,Bezahlt,Vertrieb,EUR
FT70c51c39,SOafcaa0f0,C96c2fc47,2023-05-07,2023-06-21,15835.55,2023-06-21,Überweisung,Bezahlt,Finanzen,EUR
FT931291c1,SOcb8dfa19,C75f9d5e2,2023-06-16,2023-07-31,8968.46,2023-07-31,Lastschrift,Bezahlt,IT,EUR
FTaa5f64db,SO90d52d3c,C33fee75a,2024-02-09,2024-04-09,14045.44,2024-04-09,Lastschrift,Bezahlt,Vertrieb,EUR
FT5a682759,SO3a8c5b0e,Cf02cd960,2024-05-14,2024-06-28,5166.01,2024-07-13,Kreditkarte,Bezahlt,Finanzen,EUR
FTa7ecc081,SO2bdd722a,C791dd684,2024-03-05,2024-03-05,17554.38,2024-03-05,Kreditkarte,Bezahlt,IT,EUR
FTf7d38f90,SO328c1049,Cda8e4736,2024-11-26,2024-11-26,9904.38,2024-11-26,Kreditkarte,Ausstehend,Vertrieb,EUR
FT7d0ac9d3,SOd9df351c,Ce17b4857,2023-12-21,2023-12-20,247.85,2024-01-19,Überweisung,Bezahlt,Produktion,EUR
FTff0a9634,SOe48cc1ad,Cf2dabd90,2024-02-21,2024-03-22,10691.09,2024-03-22,Überweisung,Bezahlt,IT,EUR
FTc042c0e3,SObbf09516,C3f843499,2024-10-26,2024-10-26,12318.9,2024-10-31,Überweisung,Bezahlt,Finanzen,EUR
FT0dc4d00d,SO323c13a1,Cc4b33ba9,2023-12-16,2024-01-26,4347.81,2024-02-05,Überweisung,Bezahlt,Einkauf,EUR
FT36292b16,SO73a305a7,C090d6a5d,2023-01-30,2023-02-26,4223.42,2023-02-26,Überweisung,Bezahlt,Produktion,EUR
FTa7e7d088,SO73a305a7,C090d6a5d,2023-01-30,2023-02-26,2319.23,2023-02-28,Kreditkarte,Bezahlt,Produktion,EUR
FTcc56514b,SO45271cd8,C14fe74cd,2023-11-03,2024-01-02,1543.37,2024-01-02,Kreditkarte,Bezahlt,HR,EUR
FTf721de19,SO9699f686,Cdd38e6d1,2024-05-07,2024-06-21,10086.47,2024-06-26,Überweisung,Bezahlt,Vertrieb,EUR
FT5f1f1f5e,SO1fc89829,C9694b874,2024-01-21,2024-01-21,1825.15,2024-01-21,Lastschrift,Bezahlt,HR,EUR
FTa29ce2a9,SO2de5f58d,C12ba5ea5,2023-05-03,2023-06-15,,2023-06-20,Überweisung,Bezahlt,Produktion,EUR
FT482eb606,SO8b09dbd1,Caa20bb87,2024-02-14,2024-03-15,1708.12,2024-03-15,Lastschrift,Bezahlt,HR,EUR
FT6970153a,SO3a499073,C12619206,2023-05-01,2023-06-12,2259.99,2023-06-12,Überweisung,Bezahlt,Produktion,EUR
FT24b21a3f,SO65b9987b,Cf3039fb6,2024-01-05,2024-02-19,31106.93,2024-03-20,Überweisung,Bezahlt,Produktion,EUR
FT59a429f4,SOed65509c,C92a82ca8,2023-11-26,2024-01-25,303.53,2024-01-25,Lastschrift,Bezahlt,IT,EUR
